Word,Count
lorenzo,15
turned,15
wear,15
flop,15
hundred,15
shop,15
heavy,15
tag,15
kiss,15
alright,15
lay,15
die,15
black,15
whoops,15
haha,15
tags,15
ball,15
butt,15
sayin',15
coke,15
girly,15
listen,15
heat,15
pants,15
g,15
workin',15
rollie,15
kick,15
dat,15
dope,15
dead,15
weight,15
bb,15
mei,15
ready,15
fool,15
benz,15
spent,14
working,14
1:,14
hair,14
rain,14
les,14
bbno,14
wow,14
rack,14
change,14
lil,14
talking,14
talkin’,14
chains,14
smell,14
fire,14
zeros,14
throwing,14
round,14
reason,14
di,14
wide,14
finesse,14
boss,14
thotties,14
lemme,14
cuff,14
extra,14
heart,14
wasn't,14
comin',14
tits,14
designer,14
into,14
rollin',14
lots,14
backwards,14
mayo,14
free,14
zoo,14
lyrical,14
what'd,14
cake,13
ah,13
fallin',13
au,13
[intro:,13
le,13
line,13
girl's,13
sun,13
text,13
type,13
toes,13
inside,13
eight,13
nut,13
chiama:,13
"""che",13
"uomo""",13
ma,13
taste,13
end,13
mans,13
mouth,13
johnny,13
split,13
bounce,13
crew,13
pretty,13
help,13
dollars,13
fold,13
remember,13
happy,13
our,13
bottle,13
till,13
born,13
along,13
deep,13
stacks,13
je,13
bib,13
chase,13
toy,13
yourself,13
plastic,13
singing,13
yea,13
forward,13
checkmate,13
hm,13
tool,13
proof,13
slick,12
blast,12
dms,12
moving,12
seven,12
uhh,12
tour,12
cap,12
shirt,12
facts,12
seems,12
droppin',12
tipa,12
na-na-na-na-na,12
speaking,12
labels,12
fifth,12
empty,12
enough,12
comes,12
weekend,12
mula-la-la-la,12
wah-wah-wah-wah-wah,12
gon,12
iced,12
rocks,12
'gon,12
admit,12
everyday,12
unfold,12
trust,12
spit,12
most,12
magic,12
same,12
greed,12
molly,12
basic,12
yah,12
xans,12
12345,12
withdrew,12
ploy,12
mooning,12
thirty,11
2:,11
ushme,11
found,11
dream,11
outta,11
coffee,11
fresh,11
cost,11
winning,11
chasing,11
sex,11
sheets,11
jack,11
sold,11
full,11
without,11
trouble,11
because,11
case,11
honest,11
tea,11
outside,11
stuck,11
gun,11
needs,11
è,11
wife,11
bouncin',11
flight,11
guala,11
old,11
payroll,11
piccolo,11
gon’,11
food,11
kids,11
boat,11
bubble,11
jello,11
coochie,11
loose,11
hurt,11
breaking,11
popped,11
she’s,11
chat,11
follow,11
met,11
special,11
floss,11
thinkin',11
foods,11
finessin',11
pool,11
mai,11
fan,11
building,11
spin,11
conversation,11
lose,11
park,11
job,11
canada,11
jai,11
juice,11
liquor,11
trying,11
vroom,11
queen,11
dem,11
